Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ELAVL1,16312325.41920586,-0.6011372307841942,0.1495905205571224,-4.5088882749074966,6.516821425462476e-06,6.82803420986542e-05
ELAVL2,408308.7659038193,-6.391529541981747e-06,0.0011525581381871,-3.0812663382824006,0.0020612218464705666,0.009221872672286054
ELAVL3,36163.8842136765,-3.0188979923488704e-05,0.0010306975156143653,-1.2454456371133769,0.21296798667335437,0.37732661224398933
ELAVL4,58127.598014116964,3.4068773127194895e-06,0.001566919370107925,1.0659642746392948,0.2864397917523416,0.46566199458329993
ELF1,26578953.69770381,-0.0018768606939723249,0.004672531088012408,0.010808671795110128,0.9913760955702584,0.9961722742021963
ELF2,12565805.773244973,0.4044777410115722,0.26072391275668705,1.3534688080956268,0.17590590834261044,0.3273076643928825
ELF3,49308311.62568789,0.7309814378542715,1.097208099730437,-0.9188111725028302,0.3581943476217543,0.543497289046997
ELF4,8029764.271785836,-0.25207613119454714,0.3960203199156892,-1.452079730272223,0.1464794372784089,0.28545882629095687
ELF5,20121995.68766878,2.509133112881343,1.0353123285483334,2.0996338070339493,0.03576106648099763,0.09509121446393236
ELFN1,650188.3991853317,-0.00010228666833280017,0.0014142214388556751,-0.3711400430235817,0.7105332274869508,0.8363025201746671
ELFN2,135746.39037601292,-0.00015345179790570871,0.0010772549424435116,-4.089801913832406,4.317417499703789e-05,0.0003462738401008651
ELK1,15961798.616368571,-0.9043808233561941,0.19924099964399836,-4.936550373433909,7.951650600139959e-07,1.1095739516805021e-05
ELK2AP,9168087.277685363,-0.23648987534519214,0.19133417746816267,0.7695194887267403,0.4415849796579948,0.6251004331118105
ELK3,16682920.68407246,0.7841043725478547,0.32109228780795096,2.698261950140903,0.006970256924759381,0.025223090231392017
ELK4,6960121.963617015,0.00013232678742019333,0.0014628222311346487,0.034936642444267536,0.9721302619923654,0.9865301273028411
ELL,6256268.156402254,-0.23588866884851986,0.7484036398478671,-1.8291628535560316,0.06737521538197255,0.15753470706535666
ELL2,10673100.496844491,3.112256458175892e-05,0.001647348414167576,1.9591299996184084,0.05009756431925805,0.1247243586892895
ELL3,7175987.305224721,-1.1880642871926421,0.3311884176234915,-4.581711438703506,4.611859855658413e-06,5.0697039137926176e-05
ELMO1,4434718.027826246,0.8877597847050764,0.30915682862865473,3.6925944012898873,0.0002219779012599692,0.0013947830375619012
ELMO2,17129345.240901764,-0.49614562263914286,0.19613964130622955,-3.1637249229666238,0.0015576394030401724,0.007305906723005119
ELMO3,11885828.467783382,-1.2712138712669359,0.4648856335103585,-3.975476363713025,7.023852004249418e-05,0.0005241481688905451
